s11,s22,s12,r_calc,theta_rad,theta_pi_coeff,phi_rad,phi_pi_coeff,se_target
0.13720956,-0.44690707,-0.4899414,0.6771964,5.010274,1.5948197,2.3796337,0.7574609,1.0
0.86303544,0.18297866,-0.3557179,0.9512342,0.20892374,0.06650249,1.9540651,0.6219982,1.0
0.55656224,-0.37548882,0.33678073,0.75111556,5.6896715,1.8110787,1.1058509,0.35200328,1.0
-0.32948545,0.793598,0.0073647485,0.8593094,1.9643195,0.62526226,1.5622257,0.49727187,1.0
-0.015945343,-1.0068364,-0.026334943,1.0073069,4.696553,1.4949592,1.5969433,0.50832283,1.0
-0.54040265,0.61055136,-0.041827515,0.81642973,2.2953215,0.7306235,1.622051,0.51631486,1.0
-0.3775821,-1.128175,0.05952938,1.191172,4.3894234,1.3971968,1.5208001,0.4840857,1.0
0.88583785,0.11052327,0.31674466,0.9472335,0.1241255,0.039510373,1.2298393,0.39147002,1.0
0.61534405,-0.36141297,-0.2990758,0.7737661,5.7521305,1.8309599,1.9676514,0.62632287,1.0
0.33789966,0.7616583,-0.43322995,0.939142,1.1532466,0.3670898,2.0502608,0.6526182,1.0
0.025051897,-0.6065846,0.45322233,0.75761664,4.7536654,1.5131387,0.9295169,0.29587442,1.0
-0.8161153,0.1945216,0.21398209,0.86583555,2.9076078,0.9255203,1.3210694,0.42050943,1.0
-1.0569695,-0.7500585,-0.19409324,1.310513,3.7587533,1.1964483,1.7194481,0.5473173,1.0
1.0336132,0.67960125,-0.23960432,1.2600096,0.58162993,0.18513855,1.7621222,0.56090087,1.0
0.8393909,-0.14823323,0.2228784,0.8810362,6.1083913,1.9443613,1.3150444,0.41859162,1.0
-0.092385545,0.2356484,0.5520158,0.60727805,1.944429,0.618931,0.42991772,0.13684706,1.0
-0.17061079,-0.17416152,-0.56870425,0.6187607,3.9372892,1.253278,2.7365918,0.8710842,1.0
-0.44604072,0.35173738,-0.416509,0.70438004,2.473856,0.7874528,2.2034822,0.70139015,1.0
-0.8144263,-0.23830087,0.3974926,0.9370581,3.4262464,1.0906081,1.1327269,0.36055815,1.0
0.095235966,1.0328923,0.0864712,1.0408716,1.4788531,0.47073355,1.4876248,0.47352564,1.0
0.37458116,-0.74085385,-0.10537968,0.8368276,5.1805124,1.6490083,1.6970592,0.5401907,1.0
-0.77249277,0.34272656,-0.083744764,0.84924656,2.724021,0.8670828,1.6695676,0.53143984,1.0
-1.003957,-0.041494112,0.10329047,1.0101091,3.1828997,1.0131484,1.4683605,0.46739367,1.0
0.17900234,0.75091755,0.42367324,0.8805782,1.3367854,0.42551202,1.0688522,0.3402262,1.0
0.34064034,-0.48000687,-0.40416497,0.713997,5.329567,1.6964538,2.1725147,0.6915329,1.0
0.2666001,0.23597963,-0.55861443,0.6624289,0.7245468,0.2306304,2.5741572,0.8193797,1.0
0.058073588,-0.019438256,0.57594,0.57918674,5.9601893,1.8971871,0.10593283,0.033719465,1.0
-0.10652088,0.8535757,0.23744349,0.8923663,1.6949482,0.5395188,1.3014691,0.41427046,1.0
-0.623778,-1.0620074,-0.22022578,1.2511827,4.1813173,1.3309546,1.7477322,0.5563204,1.0
0.80410385,1.0196629,-0.21104465,1.3156121,0.9030468,0.2874487,1.731908,0.5512834,1.0
0.23495424,-0.80290663,0.19277884,0.85850227,4.9970703,1.5906168,1.3443125,0.42790797,1.0
-0.61566335,0.056787856,0.44074616,0.7592914,3.0496144,0.9707224,0.9514901,0.3028687,1.0
-0.70047545,-0.35418344,-0.45897895,0.9092708,3.6097364,1.1490147,2.09992,0.66842526,1.0
-0.37722206,0.5737055,-0.32256842,0.7586072,2.1524389,0.6851426,2.0099916,0.6398002,1.0
-0.16191179,-0.9167011,0.30652264,0.98005736,4.5375676,1.4443526,1.252699,0.39874646,1.0
1.1430053,0.44815993,0.040582504,1.2283953,0.3736681,0.118942246,1.5377533,0.48948207,1.0
0.5804721,-0.56866086,-0.056524757,0.8145662,5.508065,1.7532716,1.6402446,0.52210605,1.0
1.0325792,0.068702266,-0.00048026338,1.0348623,0.0664367,0.021147458,1.5712605,0.5001477,1.0
0.7659575,-0.36454272,0.019946633,0.8485164,5.838978,1.8586043,1.5472865,0.49251658,1.0
-0.38716295,0.515462,0.35816017,0.73747873,2.2150004,0.7050565,1.0636842,0.3385812,1.0
-0.2397043,-0.9027802,-0.3385903,0.9935359,4.4528594,1.4173892,1.9185569,0.6106956,1.0
-0.46471825,0.16883793,-0.47506794,0.6856813,2.7931077,0.8890738,2.3362174,0.7436411,1.0
-0.5391217,-0.50384843,0.49231434,0.88706756,3.8931837,1.2392389,0.9824444,0.31272176,1.0
0.68059677,1.0910445,0.17221238,1.2974002,1.0130584,0.3224665,1.4376669,0.45762357,1.0
0.13375749,-0.8894522,-0.15493295,0.9126996,4.8616524,1.5475119,1.7413749,0.5542968,1.0
-0.16686961,0.7869368,-0.2717653,0.8491003,1.7797507,0.5665122,1.896592,0.603704,1.0
-0.68609095,-1.0168997,0.25356117,1.2526368,4.118853,1.3110716,1.366966,0.4351188,1.0
0.5002401,0.20769942,0.5197821,0.75070137,0.3935403,0.12526776,0.8059927,0.25655544,1.0
0.3595561,-0.005703862,-0.53809416,0.6471928,6.267323,1.9949508,2.552469,0.8124761,1.0
0.07753947,0.7831558,-0.38357097,0.8754839,1.472109,0.46858683,2.0243077,0.64435714,1.0
0.313753,-0.56479454,0.36758688,0.7433397,5.219458,1.6614051,1.0535285,0.33534855,1.0
-0.6119831,0.516434,0.11933654,0.8096102,2.4406683,0.77688885,1.4228573,0.45290953,1.0
-1.0956529,-0.33641896,-0.1353581,1.1541034,3.4395037,1.094828,1.6883512,0.53741884,1.0
-0.6094032,0.50972724,-0.13925566,0.80658925,2.4450257,0.77827585,1.7443134,0.55523217,1.0
-1.106982,-0.35967496,0.12024789,1.170143,3.4557476,1.0999986,1.4678512,0.4672315,1.0
0.09881924,0.81484085,0.36823502,0.89962655,1.4501114,0.46158478,1.1490879,0.36576602,1.0
0.29728523,-0.5471274,-0.38713488,0.73321235,5.2101173,1.6584318,2.1270382,0.67705727,1.0
